[   1/1568] Verify package files        100% |  70.0   B/s |   1.5 KiB |  00m22s
[ 518/1568] Installing default-fonts-am 100% | 318.4 KiB/s | 652.0   B |  00m00s
[ 519/1568] Installing google-noto-sans 100% |  45.3 MiB/s | 231.9 KiB |  00m00s
[ 520/1568] Installing default-fonts-ar 100% | 316.4 KiB/s | 648.0   B |  00m00s
[ 521/1568] Installing google-noto-sans 100% |  32.7 MiB/s | 134.0 KiB |  00m00s
[ 522/1568] Installing default-fonts-ch 100% | 320.3 KiB/s | 656.0   B |  00m00s
[ 523/1568] Installing google-noto-sans 100% |  10.0 MiB/s |  30.6 KiB |  00m00s
[ 524/1568] Installing default-fonts-dv 100% | 316.4 KiB/s | 648.0   B |  00m00s
[ 525/1568] Installing google-noto-sans 100% |   4.6 MiB/s |  14.0 KiB |  00m00s
[ 526/1568] Installing default-fonts-go 100% | 318.4 KiB/s | 652.0   B |  00m00s
[ 527/1568] Installing google-noto-sans 100% |  38.8 MiB/s | 198.5 KiB |  00m00s
[ 528/1568] Installing default-fonts-gu 100% | 318.4 KiB/s | 652.0   B |  00m00s
[ 529/1568] Installing google-noto-sans 100% |   6.8 MiB/s |  34.7 KiB |  00m00s
[ 530/1568] Installing default-fonts-hy 100% | 318.4 KiB/s | 652.0   B |  00m00s
[ 531/1568] Installing google-noto-sans 100% |  30.7 MiB/s | 157.3 KiB |  00m00s
[ 532/1568] Installing default-fonts-iu 100% | 320.3 KiB/s | 656.0   B |  00m00s
[ 533/1568] Installing google-noto-sans 100% |  18.9 MiB/s |  58.1 KiB |  00m00s
[ 534/1568] Installing default-fonts-ka 100% | 318.4 KiB/s | 652.0   B |  00m00s
[ 535/1568] Installing google-noto-sans 100% |  29.1 MiB/s | 119.3 KiB |  00m00s
[ 536/1568] Installing default-fonts-km 100% | 316.4 KiB/s | 648.0   B |  00m00s
[ 537/1568] Installing google-noto-sans 100% |  44.4 MiB/s | 181.8 KiB |  00m00s
[ 538/1568] Installing default-fonts-kn 100% | 318.4 KiB/s | 652.0   B |  00m00s
[ 539/1568] Installing google-noto-sans 100% |   8.7 MiB/s |  35.8 KiB |  00m00s
[ 540/1568] Installing default-fonts-lo 100% | 314.5 KiB/s | 644.0   B |  00m00s
[ 541/1568] Installing google-noto-sans 100% |  10.0 MiB/s |  30.8 KiB |  00m00s
[ 542/1568] Installing default-fonts-mn 100% | 320.3 KiB/s | 656.0   B |  00m00s
[ 543/1568] Installing google-noto-sans 100% |  13.4 MiB/s |  41.1 KiB |  00m00s
[ 544/1568] Installing default-fonts-nq 100% | 316.4 KiB/s | 648.0   B |  00m00s
[ 545/1568] Installing google-noto-sans 100% |  39.1 MiB/s | 200.2 KiB |  00m00s
[ 546/1568] Installing default-fonts-or 100% | 314.5 KiB/s | 644.0   B |  00m00s
[ 547/1568] Installing google-noto-sans 100% |  16.1 MiB/s |  49.4 KiB |  00m00s
[ 548/1568] Installing default-fonts-pa 100% | 318.4 KiB/s | 652.0   B |  00m00s
[ 549/1568] Installing google-noto-sans 100% |   8.9 MiB/s |  27.3 KiB |  00m00s
[ 550/1568] Installing default-fonts-sa 100% | 318.4 KiB/s | 652.0   B |  00m00s
[ 551/1568] Installing google-noto-sans 100% |  69.5 MiB/s | 356.0 KiB |  00m00s
[ 552/1568] Installing default-fonts-si 100% | 318.4 KiB/s | 652.0   B |  00m00s
[ 553/1568] Installing google-noto-sans 100% |  21.0 MiB/s |  86.1 KiB |  00m00s
[ 554/1568] Installing default-fonts-sy 100% | 318.4 KiB/s | 652.0   B |  00m00s
[ 555/1568] Installing google-noto-sans 100% |  25.8 MiB/s |  79.3 KiB |  00m00s
[ 556/1568] Installing default-fonts-ta 100% | 316.4 KiB/s | 648.0   B |  00m00s
[ 557/1568] Installing google-noto-sans 100% |  45.0 MiB/s | 230.6 KiB |  00m00s
[ 558/1568] Installing default-fonts-te 100% | 316.4 KiB/s | 648.0   B |  00m00s
[ 559/1568] Installing google-noto-sans 100% |  11.0 MiB/s |  33.8 KiB |  00m00s
[ 560/1568] Installing default-fonts-th 100% | 314.5 KiB/s | 644.0   B |  00m00s
[ 561/1568] Installing libgsf-0:1.14.53 100% |  13.1 MiB/s | 979.8 KiB |  00m00s
[ 562/1568] Installing libappstream-gli 100% |  19.9 MiB/s |   1.4 MiB |  00m00s
[ 563/1568] Installing libharu-0:2.4.3- 100% |  38.3 MiB/s |   1.7 MiB |  00m00s
[ 564/1568] Installing libyuv-0:0-0.56. 100% |  51.5 MiB/s | 685.3 KiB |  00m00s
[ 565/1568] Installing djvulibre-libs-0 100% |  78.1 MiB/s |   1.8 MiB |  00m00s
[ 566/1568] Installing qt6-filesystem-0 100% | 498.3 KiB/s |   3.5 KiB |  00m00s
[ 567/1568] Installing qt6-qtbase-commo 100% | 114.6 KiB/s | 352.0   B |  00m00s
[ 568/1568] Installing qt6-qtbase-0:6.9 100% |  66.6 MiB/s |  12.9 MiB |  00m00s
[ 569/1568] Installing libcerf-0:2.4-1. 100% |  11.7 MiB/s |  59.9 KiB |  00m00s
[ 570/1568] Installing fedora-logos-htt 100% |   3.2 MiB/s |  13.1 KiB |  00m00s
[ 571/1568] Installing OpenCL-ICD-Loade 100% |  11.7 MiB/s |  71.8 KiB |  00m00s
[ 572/1568] Installing libfreeaptx-0:0. 100% |  13.3 MiB/s |  54.4 KiB |  00m00s
[ 573/1568] Installing openpgm-0:5.3.12 100% |  34.5 MiB/s | 317.7 KiB |  00m00s
[ 574/1568] Installing libsodium-0:1.0. 100% |  47.6 MiB/s | 390.2 KiB |  00m00s
[ 575/1568] Installing zeromq-0:4.3.5-2 100% |  14.0 MiB/s | 902.7 KiB |  00m00s
[ 576/1568] Installing libdovi-0:3.3.1- 100% |  52.9 MiB/s | 595.4 KiB |  00m00s
[ 577/1568] Installing libplacebo-0:7.3 100% |  70.8 MiB/s |   1.1 MiB |  00m00s
[ 578/1568] Installing lpcnetfreedv-0:0 100% | 142.5 MiB/s |  14.8 MiB |  00m00s
[ 579/1568] Installing codec2-0:1.2.0-6 100% |  80.5 MiB/s |   1.4 MiB |  00m00s
[ 580/1568] Installing vvenc-libs-0:1.1 100% |  93.3 MiB/s |   3.3 MiB |  00m00s
[ 581/1568] Installing zimg-0:3.0.5-3.f 100% |  57.4 MiB/s | 822.9 KiB |  00m00s
[ 582/1568] Installing xvidcore-0:1.3.7 100% |  66.1 MiB/s | 880.1 KiB |  00m00s
[ 583/1568] Installing vo-amrwbenc-0:0. 100% |  25.3 MiB/s | 155.4 KiB |  00m00s
[ 584/1568] Installing ilbc-0:3.0.4-13. 100% |  13.5 MiB/s |  96.9 KiB |  00m00s
[ 585/1568] Installing libconfig-0:1.7. 100% |  18.5 MiB/s | 227.6 KiB |  00m00s
[ 586/1568] Installing libffado-0:2.4.9 100% |  82.0 MiB/s |   2.5 MiB |  00m00s
[ 587/1568] Installing libdb-0:5.3.28-6 100% |  43.5 MiB/s |   1.9 MiB |  00m00s
[ 588/1568] Installing jack-audio-conne 100% |  26.6 MiB/s |   1.9 MiB |  00m00s
[ 589/1568] Installing portaudio-0:19.7 100% |  21.1 MiB/s | 259.4 KiB |  00m00s
[ 590/1568] Installing xen-licenses-0:4 100% |  13.3 MiB/s | 353.3 KiB |  00m00s
[ 591/1568] Installing xen-libs-0:4.19. 100% |  37.9 MiB/s |   1.8 MiB |  00m00s
[ 592/1568] Installing seavgabios-bin-0 100% |  60.0 MiB/s | 368.5 KiB |  00m00s
[ 593/1568] Installing seabios-bin-0:1. 100% |  37.3 MiB/s |   1.1 MiB |  00m00s
[ 594/1568] Installing qatlib-0:24.09.0 100% |  32.9 MiB/s | 606.7 KiB |  00m00s
[ 595/1568] Installing qatzip-libs-0:1. 100% |  19.8 MiB/s | 142.2 KiB |  00m00s
[ 596/1568] Installing libxdp-0:1.5.5-1 100% |  20.0 MiB/s | 163.8 KiB |  00m00s
[ 597/1568] Installing edk2-ovmf-0:2025 100% | 168.5 MiB/s |  35.7 MiB |  00m00s
[ 598/1568] Installing hiredis-0:1.2.0- 100% |   2.0 MiB/s | 107.6 KiB |  00m00s
>>> Running sysusers scriptlet: unbound-libs-0:1.23.1-1.fc42.x86_64             
>>> Finished sysusers scriptlet: unbound-libs-0:1.23.1-1.fc42.x86_64            
>>> Scriptlet output:                                                           
>>> Failed to connect to audit log, ignoring: Invalid argument                  
>>> Creating group 'unbound' with GID 974.                                      
>>> Creating user 'unbound' (Unbound DNS resolver) with UID 974 and GID 974.    
>>>                                                                             
[ 599/1568] Installing unbound-libs-0:1 100% |  60.3 MiB/s |   1.4 MiB |  00m00s
[ 600/1568] Installing gnutls-dane-0:3. 100% |  12.1 MiB/s |  61.7 KiB |  00m00s
[ 601/1568] Installing gnutls-utils-0:3 100% |  23.3 MiB/s |   1.3 MiB |  00m00s
[ 602/1568] Installing autocorr-en-1:25 100% |  40.6 MiB/s | 291.1 KiB |  00m00s
[ 603/1568] Installing isns-utils-libs- 100% |  61.6 MiB/s | 504.4 KiB |  00m00s
[ 604/1568] Installing iscsi-initiator- 100% |   2.6 MiB/s | 164.7 KiB |  00m00s
>>> Running %post scriptlet: iscsi-initiator-utils-iscsiuio-0:6.2.1.11-0.git4b3e
>>> Finished %post scriptlet: iscsi-initiator-utils-iscsiuio-0:6.2.1.11-0.git4b3
>>> Scriptlet output:                                                           
>>> Created symlink '/etc/systemd/system/sockets.target.wants/iscsiuio.socket' 
>>>                                                                             
[ 605/1568] Installing iscsi-initiator- 100% |  13.8 MiB/s |   1.4 MiB |  00m00s
>>> Running %post scriptlet: iscsi-initiator-utils-0:6.2.1.11-0.git4b3e853.fc42.
>>> Finished %post scriptlet: iscsi-initiator-utils-0:6.2.1.11-0.git4b3e853.fc42
>>> Scriptlet output:                                                           
>>> Created symlink '/etc/systemd/system/sysinit.target.wants/iscsi-starter.serv
>>> Created symlink '/etc/systemd/system/sockets.target.wants/iscsid.socket' 
>>> Created symlink '/etc/systemd/system/sysinit.target.wants/iscsi-onboot.servi
>>>                                                                             
[ 606/1568] Installing libwacom-data-0: 100% |   8.9 MiB/s |   1.5 MiB |  00m00s
[ 607/1568] Installing libwacom-0:2.16. 100% |   2.7 MiB/s | 108.1 KiB |  00m00s
[ 608/1568] Installing libinput-0:1.28. 100% |   9.1 MiB/s | 650.9 KiB |  00m00s
[ 609/1568] Installing mariadb-connecto 100% | 329.4 KiB/s |   1.0 KiB |  00m00s
[ 610/1568] Installing mariadb-connecto 100% |  26.6 MiB/s | 517.9 KiB |  00m00s
[ 611/1568] Installing mutter-common-0: 100% |   7.5 MiB/s |  38.2 KiB |  00m00s
[ 612/1568] Installing libeis-0:1.4.1-1 100% |  18.9 MiB/s | 116.3 KiB |  00m00s
[ 613/1568] Installing boost-program-op 100% |  33.9 MiB/s | 277.8 KiB |  00m00s
[ 614/1568] Installing python-qt5-rpm-m 100% | 205.1 KiB/s | 420.0   B |  00m00s
[ 615/1568] Installing ipxe-roms-qemu-0 100% |  42.9 MiB/s |   2.7 MiB |  00m00s
>>> Running sysusers scriptlet: qemu-common-2:9.2.4-1.fc42.x86_64               
>>> Finished sysusers scriptlet: qemu-common-2:9.2.4-1.fc42.x86_64              
>>> Scriptlet output:                                                           
>>> Failed to connect to audit log, ignoring: Invalid argument                  
>>> Creating group 'qemu' with GID 107.                                         
>>> Creating user 'qemu' (qemu user) with UID 107 and GID 107.                  
>>>                                                                             
[ 616/1568] Installing qemu-common-2:9. 100% |  49.4 MiB/s |   2.6 MiB |  00m00s
[ 617/1568] Installing qemu-device-disp 100% |  23.4 MiB/s |  71.8 KiB |  00m00s
[ 618/1568] Installing qemu-device-disp 100% |   5.3 MiB/s |  16.2 KiB |  00m00s
[ 619/1568] Installing qemu-device-disp 100% |   9.9 MiB/s |  20.3 KiB |  00m00s
[ 620/1568] Installing qemu-device-disp 100% |   5.8 MiB/s |  11.8 KiB |  00m00s
[ 621/1568] Installing qemu-device-disp 100% |   3.9 MiB/s |  12.0 KiB |  00m00s
[ 622/1568] Installing qemu-device-disp 100% |   3.9 MiB/s |  11.9 KiB |  00m00s
[ 623/1568] Installing qemu-device-disp 100% |   5.9 MiB/s |  12.1 KiB |  00m00s
[ 624/1568] Installing qemu-audio-alsa- 100% |   7.1 MiB/s |  29.2 KiB |  00m00s
[ 625/1568] Installing qemu-audio-dbus- 100% |  52.5 MiB/s | 268.7 KiB |  00m00s
[ 626/1568] Installing qemu-audio-jack- 100% |   5.0 MiB/s |  20.6 KiB |  00m00s
[ 627/1568] Installing qemu-audio-oss-2 100% |   6.7 MiB/s |  20.4 KiB |  00m00s
[ 628/1568] Installing qemu-block-curl- 100% |  10.7 MiB/s |  32.8 KiB |  00m00s
[ 629/1568] Installing qemu-block-dmg-2 100% |   5.7 MiB/s |  11.8 KiB |  00m00s
[ 630/1568] Installing qemu-block-glust 100% |  10.5 MiB/s |  32.2 KiB |  00m00s
[ 631/1568] Installing qemu-block-iscsi 100% |  12.5 MiB/s |  51.2 KiB |  00m00s
[ 632/1568] Installing qemu-block-nfs-2 100% |   9.6 MiB/s |  29.5 KiB |  00m00s
[ 633/1568] Installing qemu-block-rbd-2 100% |  13.5 MiB/s |  41.6 KiB |  00m00s
[ 634/1568] Installing qemu-block-ssh-2 100% |  10.5 MiB/s |  43.1 KiB |  00m00s
[ 635/1568] Installing qemu-device-usb- 100% |  16.1 MiB/s |  49.5 KiB |  00m00s
[ 636/1568] Installing qemu-device-usb- 100% |  16.9 MiB/s |  69.4 KiB |  00m00s
[ 637/1568] Installing qemu-device-usb- 100% |   8.1 MiB/s |  33.3 KiB |  00m00s
[ 638/1568] Installing qemu-ui-curses-2 100% |   9.8 MiB/s |  40.3 KiB |  00m00s
[ 639/1568] Installing virtiofsd-0:1.13 100% |  81.6 MiB/s |   2.5 MiB |  00m00s
[ 640/1568] Installing libslirp-0:4.8.0 100% |  18.7 MiB/s | 152.9 KiB |  00m00s
[ 641/1568] Installing libfdt-0:1.7.2-3 100% |  16.4 MiB/s |  67.1 KiB |  00m00s
[ 642/1568] Installing capstone-0:5.0.1 100% | 108.2 MiB/s |  14.1 MiB |  00m00s
[ 643/1568] Installing qemu-system-x86- 100% | 109.8 MiB/s |  54.9 MiB |  00m01s
[ 644/1568] Installing device-mapper-mu 100% |  12.9 MiB/s | 887.1 KiB |  00m00s
[ 645/1568] Installing qemu-pr-helper-2 100% |  15.6 MiB/s | 974.4 KiB |  00m00s
[ 646/1568] Installing rutabaga-gfx-ffi 100% |  54.0 MiB/s | 608.6 KiB |  00m00s
[ 647/1568] Installing qemu-device-disp 100% | 950.7 KiB/s |  39.0 KiB |  00m00s
[ 648/1568] Installing libblkio-0:1.5.0 100% |  54.2 MiB/s | 666.0 KiB |  00m00s
[ 649/1568] Installing qemu-block-blkio 100% |  18.0 MiB/s |  36.8 KiB |  00m00s
[ 650/1568] Installing liboeffis-0:1.4. 100% |   5.6 MiB/s |  34.1 KiB |  00m00s
[ 651/1568] Installing chkconfig-0:1.33 100% |   9.2 MiB/s | 772.2 KiB |  00m00s
[ 652/1568] Installing graphviz-libs-0: 100% |  50.3 MiB/s |   1.2 MiB |  00m00s
[ 653/1568] Installing sshpass-0:1.09-1 100% |   1.3 MiB/s |  44.1 KiB |  00m00s
[ 654/1568] Installing libuser-0:0.64-1 100% |  19.1 MiB/s |   1.9 MiB |  00m00s
[ 655/1568] Installing usermode-0:1.114 100% |  11.0 MiB/s | 843.6 KiB |  00m00s
[ 656/1568] Installing vpnc-0:0.5.3^202 100% |   3.3 MiB/s | 230.6 KiB |  00m00s
[ 657/1568] Installing NetworkManager-v 100% |  10.0 MiB/s | 562.3 KiB |  00m00s
[ 658/1568] Installing python3-cython-0 100% |  57.3 MiB/s |  18.3 MiB |  00m00s
[ 659/1568] Installing jsoncpp-0:1.9.6- 100% |  32.1 MiB/s | 263.1 KiB |  00m00s
[ 660/1568] Installing openxr-libs-0:1. 100% |  32.9 MiB/s | 269.3 KiB |  00m00s
[ 661/1568] Installing clang19-resource 100% |   4.0 MiB/s |  16.2 KiB |  00m00s
[ 662/1568] Installing utf8proc-0:2.10. 100% |  52.1 MiB/s | 373.4 KiB |  00m00s
[ 663/1568] Installing libarrow-0:18.0. 100% | 132.3 MiB/s |  24.7 MiB |  00m00s
[ 664/1568] Installing parquet-libs-0:1 100% | 105.2 MiB/s |   3.3 MiB |  00m00s
[ 665/1568] Installing libarrow-acero-l 100% |  80.4 MiB/s |   1.4 MiB |  00m00s
[ 666/1568] Installing libarrow-dataset 100% |  86.5 MiB/s |   1.5 MiB |  00m00s
[ 667/1568] Installing luajit-0:2.1.174 100% |  27.3 MiB/s |   1.4 MiB |  00m00s
[ 668/1568] Installing mozjs128-0:128.1 100% |  97.0 MiB/s |  19.1 MiB |  00m00s
[ 669/1568] Installing libxcvt-0:0.1.2- 100% |   2.5 MiB/s |  15.6 KiB |  00m00s
[ 670/1568] Installing libXdmcp-0:1.1.5 100% |  11.7 MiB/s |  83.7 KiB |  00m00s
[ 671/1568] Installing libdisplay-info- 100% |  38.0 MiB/s | 233.3 KiB |  00m00s
[ 672/1568] Installing gnome-shell-comm 100% |   7.6 MiB/s |  15.6 KiB |  00m00s
[ 673/1568] Installing hplip-common-0:3 100% |  82.5 MiB/s |   1.5 MiB |  00m00s
[ 674/1568] Installing hplip-libs-0:3.2 100% |   5.5 MiB/s | 429.2 KiB |  00m00s
>>> Running sysusers scriptlet: httpd-filesystem-0:2.4.64-2.fc42.noarch         
>>> Finished sysusers scriptlet: httpd-filesystem-0:2.4.64-2.fc42.noarch        
>>> Scriptlet output:                                                           
>>> Failed to connect to audit log, ignoring: Invalid argument                  
>>> Creating group 'apache' with GID 48.                                        
>>> Creating user 'apache' (Apache) with UID 48 and GID 48.                     
>>>                                                                             
[ 675/1568] Installing httpd-filesystem 100% | 360.7 KiB/s |   2.2 KiB |  00m00s
[ 676/1568] Installing gc-0:8.2.6-4.fc4 100% |  20.2 MiB/s | 268.8 KiB |  00m00s
[ 677/1568] Installing libopenjph-0:0.2 100% |  44.9 MiB/s | 459.4 KiB |  00m00s
[ 678/1568] Installing hidapi-0:0.15.0- 100% |  11.0 MiB/s | 112.8 KiB |  00m00s
[ 679/1568] Installing libmanette-0:0.2 100% |  34.5 MiB/s | 352.9 KiB |  00m00s
[ 680/1568] Installing libreoffice-open 100% |  71.5 MiB/s | 439.5 KiB |  00m00s
[ 681/1568] Installing libreoffice-ure- 100% | 110.9 MiB/s |   2.3 MiB |  00m00s
[ 682/1568] Installing tzdata-java-0:20 100% |  32.7 MiB/s | 100.5 KiB |  00m00s
[ 683/1568] Installing lksctp-tools-0:1 100% |   5.5 MiB/s | 254.7 KiB |  00m00s
[ 684/1568] Installing javapackages-fil 100% | 615.5 KiB/s |   5.5 KiB |  00m00s
[ 685/1568] Installing java-21-openjdk- 100% | 119.3 MiB/s | 197.8 MiB |  00m02s
[ 686/1568] Installing unzip-0:6.0-66.f 100% |   8.7 MiB/s | 393.8 KiB |  00m00s
[ 687/1568] Installing boost-date-time- 100% |   3.2 MiB/s |  13.2 KiB |  00m00s
[ 688/1568] Installing libcmis-0:0.6.2- 100% |  56.6 MiB/s |   1.1 MiB |  00m00s
[ 689/1568] Installing zxing-cpp-0:2.2. 100% |  71.1 MiB/s |   1.3 MiB |  00m00s
[ 690/1568] Installing zxcvbn-c-0:2.5-5 100% |  52.5 MiB/s |   3.3 MiB |  00m00s
[ 691/1568] Installing libexttextcat-0: 100% |   9.3 MiB/s | 485.1 KiB |  00m00s
[ 692/1568] Installing liberation-serif 100% |  70.3 MiB/s |   1.5 MiB |  00m00s
[ 693/1568] Installing liberation-sans- 100% |  80.2 MiB/s |   1.6 MiB |  00m00s
[ 694/1568] Installing liberation-mono- 100% |  38.9 MiB/s |   1.2 MiB |  00m00s
[ 695/1568] Installing libeot-0:0.01-33 100% |   9.6 MiB/s |  78.6 KiB |  00m00s
[ 696/1568] Installing libargon2-0:2019 100% |   7.3 MiB/s |  52.7 KiB |  00m00s
[ 697/1568] Installing google-crosextra 100% |  20.6 MiB/s | 253.6 KiB |  00m00s
[ 698/1568] Installing google-carlito-f 100% |  63.0 MiB/s |   2.6 MiB |  00m00s
[ 699/1568] Installing Box2D-0:2.4.2-3. 100% |   2.4 MiB/s | 252.7 KiB |  00m00s
>>> Running sysusers scriptlet: dnsmasq-0:2.90-6.fc42.x86_64                    
>>> Finished sysusers scriptlet: dnsmasq-0:2.90-6.fc42.x86_64                   
>>> Scriptlet output:                                                           
>>> Failed to connect to audit log, ignoring: Invalid argument                  
>>> Creating group 'dnsmasq' with GID 973.                                      
>>> Creating user 'dnsmasq' (Dnsmasq DHCP and DNS server) with UID 973 and GID 9
>>>                                                                             
[ 700/1568] Installing dnsmasq-0:2.90-6 100% |   6.2 MiB/s | 767.4 KiB |  00m00s
[ 701/1568] Installing systemd-containe 100% |  22.1 MiB/s |   2.2 MiB |  00m00s
[ 702/1568] Installing libnbd-0:1.22.3- 100% |  10.7 MiB/s | 449.4 KiB |  00m00s
[ 703/1568] Installing initscripts-rena 100% |   4.0 MiB/s |  20.5 KiB |  00m00s
[ 704/1568] Installing initscripts-0:10 100% |   9.9 MiB/s |   1.1 MiB |  00m00s
>>> Running %post scriptlet: initscripts-0:10.26-3.fc42.x86_64                  
>>> Finished %post scriptlet: initscripts-0:10.26-3.fc42.x86_64                 
>>> Scriptlet output:                                                           
>>> Created symlink '/etc/systemd/system/sysinit.target.wants/import-state.servi
>>>                                                                             
[ 705/1568] Installing fuse-libs-0:2.9. 100% |  30.0 MiB/s | 306.8 KiB |  00m00s
[ 706/1568] Installing fuse-0:2.9.9-23. 100% |   5.4 MiB/s | 225.6 KiB |  00m00s
[ 707/1568] Installing scrub-0:2.6.1-10 100% |   3.8 MiB/s | 128.0 KiB |  00m00s
[ 708/1568] Installing numad-0:0.5-46.2 100% | 984.0 KiB/s |  57.1 KiB |  00m00s
[ 709/1568] Installing lzop-0:1.04-16.f 100% |   2.6 MiB/s | 100.4 KiB |  00m00s
[ 710/1568] Installing mdevctl-0:1.4.0- 100% |  41.1 MiB/s |   2.5 MiB |  00m00s
[ 711/1568] Installing llvm-filesystem- 100% | 354.2 KiB/s |   1.1 KiB |  00m00s
[ 712/1568] Installing llvm-libs-0:20.1 100% | 115.1 MiB/s | 137.1 MiB |  00m01s
[ 713/1568] Installing llvm19-filesyste 100% | 352.9 KiB/s |   1.1 KiB |  00m00s
[ 714/1568] Installing llvm19-libs-0:19 100% | 127.5 MiB/s | 124.0 MiB |  00m01s
[ 715/1568] Installing clang19-libs-0:1 100% | 127.8 MiB/s | 124.2 MiB |  00m01s
[ 716/1568] Installing nautilus-extensi 100% |  10.3 MiB/s |  84.1 KiB |  00m00s
[ 717/1568] Installing pciutils-0:3.14. 100% |   6.4 MiB/s | 286.9 KiB |  00m00s
[ 718/1568] Installing open-vm-tools-0: 100% |  21.3 MiB/s |   3.0 MiB |  00m00s
>>> Running %post scriptlet: open-vm-tools-0:13.0.0-1.fc42.x86_64               
>>> Finished %post scriptlet: open-vm-tools-0:13.0.0-1.fc42.x86_64              
>>> Scriptlet output:                                                           
>>> Created symlink '/etc/systemd/system/vmtoolsd.service.requires/vgauthd.servi
>>> Created symlink '/etc/systemd/system/multi-user.target.wants/vmtoolsd.servic
>>>                                                                             
[ 719/1568] Installing partio-libs-0:1. 100% |  42.6 MiB/s | 566.9 KiB |  00m00s
[ 720/1568] Installing python3-wrapt-0: 100% |  15.3 MiB/s | 204.1 KiB |  00m00s
[ 721/1568] Installing python3-deprecat 100% | 806.5 KiB/s |  56.5 KiB |  00m00s
>>> Running sysusers scriptlet: rtkit-0:0.11-66.fc42.x86_64                     
>>> Finished sysusers scriptlet: rtkit-0:0.11-66.fc42.x86_64                    
>>> Scriptlet output:                                                           
>>> Failed to connect to audit log, ignoring: Invalid argument                  
>>> Creating group 'rtkit' with GID 172.                                        
>>> Creating user 'rtkit' (RealtimeKit) with UID 172 and GID 172.               
>>>                                                                             
[ 722/1568] Installing rtkit-0:0.11-66. 100% |   2.0 MiB/s | 141.2 KiB |  00m00s
>>> Running %post scriptlet: rtkit-0:0.11-66.fc42.x86_64                        
>>> Finished %post scriptlet: rtkit-0:0.11-66.fc42.x86_64                       
>>> Scriptlet output:                                                           
>>> Created symlink '/etc/systemd/system/graphical.target.wants/rtkit-daemon.ser
>>>                                                                             
[ 723/1568] Installing proj-data-0:9.6. 100% | 112.9 MiB/s |   9.3 MiB |  00m00s
[ 724/1568] Installing proj-0:9.6.2-1.f 100% |  54.0 MiB/s |   4.5 MiB |  00m00s
[ 725/1568] Installing libgeotiff-0:1.7 100% |   7.5 MiB/s | 322.8 KiB |  00m00s
[ 726/1568] Installing libspatialite-0: 100% | 124.4 MiB/s |  15.3 MiB |  00m00s
[ 727/1568] Installing python3-soupsiev 100% |  16.5 MiB/s | 304.3 KiB |  00m00s
[ 728/1568] Installing python3-setuptoo 100% |  31.5 MiB/s |   8.6 MiB |  00m00s
[ 729/1568] Installing python3-setools- 100% |  38.0 MiB/s |   2.9 MiB |  00m00s
[ 730/1568] Installing qt5-filesystem-0 100% | 498.3 KiB/s |   3.5 KiB |  00m00s
[ 731/1568] Installing live555-0:2025.0 100% |  61.5 MiB/s |   1.4 MiB |  00m00s
[ 732/1568] Installing libusb-compat-0. 100% |   8.9 MiB/s |  54.8 KiB |  00m00s
[ 733/1568] Installing lirc-libs-0:0.10 100% |  23.4 MiB/s | 335.4 KiB |  00m00s
[ 734/1568] Installing libupnp-0:1.14.2 100% |  25.7 MiB/s | 262.8 KiB |  00m00s
[ 735/1568] Installing daala-libs-0:0-3 100% |  35.3 MiB/s | 469.8 KiB |  00m00s
[ 736/1568] Installing vte-profile-0:0. 100% |  10.3 MiB/s |  52.9 KiB |  00m00s
[ 737/1568] Installing wxGTK-i18n-0:3.2 100% |  72.6 MiB/s |   5.7 MiB |  00m00s
[ 738/1568] Installing xournalpp-ui-0:1 100% |  21.9 MiB/s |   1.5 MiB |  00m00s
[ 739/1568] Installing xournalpp-plugin 100% |   4.0 MiB/s |  36.6 KiB |  00m00s
[ 740/1568] Installing yelp-xsl-0:42.4- 100% |  44.0 MiB/s |   1.4 MiB |  00m00s
[ 741/1568] Installing pkcs11-helper-0: 100% |   3.1 MiB/s | 166.7 KiB |  00m00s
>>> Running sysusers scriptlet: openvpn-0:2.6.14-1.fc42.x86_64                  
>>> Finished sysusers scriptlet: openvpn-0:2.6.14-1.fc42.x86_64                 
>>> Scriptlet output:                                                           
>>> Failed to connect to audit log, ignoring: Invalid argument                  
>>> Creating group 'openvpn' with GID 972.                                      
>>> Creating user 'openvpn' (OpenVPN) with UID 972 and GID 972.                 
>>>                                                                             
[ 742/1568] Installing openvpn-0:2.6.14 100% |  13.0 MiB/s |   1.8 MiB |  00m00s
>>> Running %post scriptlet: openvpn-0:2.6.14-1.fc42.x86_64                     
>>> Finished %post scriptlet: openvpn-0:2.6.14-1.fc42.x86_64                    
>>> Scriptlet output:                                                           
>>> System has not been booted with systemd as init system (PID 1). Can't operat
>>> Failed to connect to system scope bus via local transport: Host is down     
>>>                                                                             
[ 743/1568] Installing NetworkManager-o 100% |  22.1 MiB/s |   1.3 MiB |  00m00s
[ 744/1568] Installing elfutils-0:0.193 100% |  37.0 MiB/s |   2.9 MiB |  00m00s
[ 745/1568] Installing python3-ply-0:3. 100% |  39.8 MiB/s | 570.3 KiB |  00m00s
[ 746/1568] Installing python3-pycparse 100% |  34.5 MiB/s | 812.0 KiB |  00m00s
[ 747/1568] Installing python3-cffi-0:1 100% |  44.2 MiB/s |   1.3 MiB |  00m00s
[ 748/1568] Installing python3-augeas-0 100% |  15.6 MiB/s | 176.0 KiB |  00m00s
